SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
MAFANG,3.49,0.18,-3.31,down
MAGADSUGAR,1.04,-0.92,-1.96,down
MAHICKRA,6.59,,,flat
MAITREYA,1.89,,,flat
MAJESAUT,1.55,-0.67,-2.22,down
MALUPAPER,1.35,-3.17,-4.52,down
MANAKSTEEL,8.35,-4.2,-12.55,down
MANCREDIT,3.04,-4.94,-7.98,down
MANINDS,3.57,0.52,-3.05,down
MANUGRAPH,2.08,-0.49,-2.5700000000000003,down
MAPMYINDIA,2.32,-5.27,-7.59,down
MARKOLINES,1.93,-1.21,-3.1399999999999997,down
MARUSHIKA,2.9,0.0,-2.9,down
MASPTOP50,2.16,-0.49,-2.6500000000000004,down
MAXESTATES,3.53,-3.0,-6.529999999999999,down
MAZDOCK,6.28,-0.6,-6.88,down
MBAPL,2.2,-1.43,-3.63,down
MCX,1.59,-0.08,-1.6700000000000002,down
MDL,4.51,,,flat
MEDANTA,2.41,0.78,-1.6300000000000001,down
MEDIASSIST,1.32,-0.6,-1.92,down
MENNPIS,1.59,-1.7,-3.29,down
MERCURYEV,1.22,-2.18,-3.4000000000000004,down
METALIC,4.5,-4.99,-9.49,down
METROGLOBL,3.85,-0.39,-4.24,down
MFML,1.78,0.57,-1.21,down
MIDHANI,4.35,0.21,-4.14,down
MINDTECK,2.5,-2.27,-4.77,down
MOBILISE,4.41,0.0,-4.41,down
MODEFENCE,3.04,0.63,-2.41,down
MOGOLD,2.35,0.96,-1.3900000000000001,down
MOKSH,5.39,-0.81,-6.199999999999999,down
MOLDTECH,19.35,-3.62,-22.970000000000002,down
MOMETAL,2.25,0.15,-2.1,down
MON100,3.28,-1.01,-4.29,down
MONEYBOXX,1.39,-2.6,-3.99,down
MONOLITH,2.59,0.73,-1.8599999999999999,down
MONQ50,3.06,-1.77,-4.83,down
MSCI360,1.17,0.0,-1.17,down
MSPL,4.63,-4.1,-8.73,down
MUFTI,7.04,-1.62,-8.66,down
MUKTAARTS,3.23,-3.03,-6.26,down
MUTHOOTCAP,1.05,-1.79,-2.84,down
MVELECTRO,46.82,-1.97,-48.79,down
NAHARCAP,3.48,-2.61,-6.09,down
NAVA,2.1,-2.08,-4.18,down
NAVINFLUOR,13.67,-4.38,-18.05,down
NAZARA,1.16,-0.14,-1.2999999999999998,down
NBIFIN,1.25,-1.76,-3.01,down
NEOCHEM,3.42,-3.04,-6.46,down
NETWORK18,1.05,-1.17,-2.2199999999999998,down
NEWJAISA,4.79,-1.22,-6.01,down
NEXTMEDIA,1.28,0.0,-1.28,down
NIBE,1.7,-0.13,-1.83,down
NILAINFRA,1.6,-2.1,-3.7,down
NINSYS,1.89,0.57,-1.3199999999999998,down
NIPPOBATRY,1.96,-1.9,-3.86,down
NIRAJ,1.06,-0.58,-1.6400000000000001,down
NIRMAN,9.76,-6.98,-16.740000000000002,down
NKIND,4.49,-3.25,-7.74,down
NUCLEUS,1.26,-0.04,-1.3,down
NUVOCO,1.95,-2.0,-3.95,down
OAL,1.28,-0.64,-1.92,down
OILIETF,2.04,-0.26,-2.3,down
OLIL,2.08,-0.91,-2.99,down
OMAXAUTO,1.13,-4.92,-6.05,down
OMAXE,1.88,-1.03,-2.91,down
OMFREIGHT,1.85,-1.13,-2.98,down
OMPOWER,2.09,-0.89,-2.98,down
OPTIVALUE,1.94,-1.3,-3.24,down
ORIANA,2.62,-1.32,-3.9400000000000004,down
ORICONENT,1.01,-0.28,-1.29,down
OSWALAGRO,3.68,-5.66,-9.34,down
PAR,2.05,-2.5,-4.55,down
PARAS,1.65,-3.01,-4.66,down
PARASPETRO,3.82,-4.78,-8.6,down
PARKHOSPS,2.6,0.0,-2.6,down
PARTYCRUS,3.86,-3.43,-7.29,down
PATINTLOG,1.65,-2.43,-4.08,down
PAVNAIND,9.59,-4.09,-13.68,down
PDMJEPAPER,2.57,-0.56,-3.13,down
PENINLAND,1.99,-1.95,-3.94,down
PGINVIT,1.1,0.09,-1.01,down
PHOGLOBAL,2.5,,,flat
PIDILITIND,1.26,-1.54,-2.8,down
PINELABS,5.56,-1.03,-6.59,down
PLASTIBLEN,3.94,0.1,-3.84,down
PNBHOUSING,2.53,-0.61,-3.1399999999999997,down
PODDARMENT,2.9,0.21,-2.69,down
POLYCAB,1.25,-1.04,-2.29,down
POONAWALLA,2.1,-2.2,-4.300000000000001,down
POWERMECH,1.71,-0.01,-1.72,down
PPL,2.1,-0.78,-2.88,down
PRAKASH,1.92,0.01,-1.91,down
PRAMARA,1.64,-1.04,-2.6799999999999997,down
PRAVEG,2.02,-4.13,-6.15,down
PRAXIS,8.72,-4.43,-13.15,down
PRECOT,3.12,-4.62,-7.74,down
PRECWIRE,2.31,-1.23,-3.54,down
PREMIUM,2.63,0.0,-2.63,down
PROV,1.12,,,flat
PSPPROJECT,3.09,-1.13,-4.22,down
PSUBANK,1.96,0.55,-1.41,down
PSUBANKADD,2.66,0.61,-2.0500000000000003,down
PSUBNKBEES,2.04,0.7,-1.34,down
PSUBNKIETF,2.29,0.56,-1.73,down
PURPLEUTED,5.0,-2.5,-7.5,down
QGOLDHALF,2.64,0.94,-1.7000000000000002,down
