SYMBOL,full_pct_change_2026-08-06,top_gainers_2026-08-06,top_losers_2026-08-06,CURRENT_UP_STREAK
CENTURYPLY,1.97,,,0
CERA,0.48,,,0
CEREBRAINT,-4.12,,,0
CESC,-0.64,,,0
CEWATER,-0.52,,,0
CGCL,1.16,,,0
CGPOWER,-1.52,,,0
CGRAPHICS,-1.9,,,0
CHALET,2.79,,,0
CHAMBLFERT,0.24,,,0
CHANDAN,-3.02,,,0
CHAVDA,-0.63,,,0
CHEMBOND,0.55,,,0
CHEMBONDCH,1.43,,,0
CHEMCON,-2.29,,,0
CHEMFAB,-2.81,,,0
CHEMICAL,1.78,,,0
CHEMPLASTS,-0.33,,,0
CHENNPETRO,-0.89,,,0
CHETANA,0.0,,,0
CHEVIOT,-3.45,,,0
CHOICEGOLD,2.55,,,0
CHOICEIN,1.07,,,0
CHOLAFIN,3.19,,,0
CHOLAHLDNG,2.76,,,0
CIEINDIA,-1.14,,,0
CIFC26A,0.02,,,0
CIFL,1.51,,,0
CINELINE,-0.69,,,0
CINEVISTA,-0.6,,,0
CIPLA,1.25,,,0
CITIUSINVT,0.19,,,0
CKKRETAIL,-0.14,,,0
CLASSICEIL,-4.92,,,0
CLAYCRAFT,0.91,,,0
CLCIND,-4.98,,,0
CLEAN,0.35,,,0
CLEANMAX,-1.67,,,0
CLEDUCATE,1.68,,,0
CLSEL,-0.02,,,0
CLSL,0.0,,,0
CMLL,3.57,,,0
CMNL,0.05,,,0
CMPDI,0.31,,,0
CMRGREEN,2.02,,,0
CMRSL,-3.9,,,0
CMSINFO,1.33,,,0
CNL,-3.73,,,0
COALINDIA,0.02,,,0
COASTCORP,-5.34,,,0
COCHINSHIP,4.56,,,0
COCKERILL,6.35,,,0
COFFEEDAY,-0.06,,,0
COFORGE,-0.24,,,0
COHANCE,2.2,,,0
COLPAL,-0.57,,,0
COMFINTE,7.18,,,0
COMMITTED,0.0,,,0
COMMOIETF,-0.39,,,0
COMPINFO,-4.35,,,0
COMPUSOFT,-0.46,,,0
COMSYN,-0.07,,,0
CONCOR,-0.84,,,0
CONCORDBIO,-0.74,,,0
CONFIPET,-2.95,,,0
CONNPLEX,1.19,,,0
CONS,0.32,,,0
CONSOFINVT,-3.77,,,0
CONSUMAXIS,-0.49,,,0
CONSUMBEES,-0.29,,,0
CONSUMER,-0.41,,,0
CONSUMIETF,-0.32,,,0
CONTROLPR,-1.55,,,0
COOLCAPS,0.69,,,0
CORALFINAC,0.06,,,0
CORDELIA,1.84,,,0
CORDSCABLE,-0.37,,,0
COROMANDEL,-0.16,,,0
CORONA,-2.44,,,0
COSMOFIRST,-4.79,,,0
COUNCODOS,4.89,,,0
CPCAP,-1.08,,,0
CPEDU,0.57,,,0
CPL,-0.93,,,0
CPPLUS,2.86,,,0
CPS,-1.38,,,0
CPSEETF,-0.56,,,0
CRAFTSMAN,1.41,,,0
CRAMC,-0.85,,,0
CRAYONS,0.74,,,0
CREATIVEYE,2.12,,,0
CREDITACC,3.46,,,0
CREDITACC,1.27,,,0
CREST,-0.5,,,0
CRISIL,1.68,,,0
CRIZAC,1.04,,,0
CROMPTON,1.47,,,0
CROWN,-1.25,,,0
CSBBANK,-0.8,,,0
CSLFINANCE,-2.27,,,0
CSM,1.62,,,0
CSSL,0.0,,,0
CTE,0.11,,,0
CUB,1.87,,,0
CUBEINVIT,0.34,,,0
CUBEXTUB,2.47,,,0
CUDML,-2.92,,,0
CUMMINSIND,-0.7,,,0
CUPID,4.16,,,0
